Country,Year,Central.bank.key.interest.rate,Long-term.interest.rate.on.government.bonds,Short-term.interest.rate
SVK,2024,3.5625,3.5146367381423,3.58563521080369
SVN,2015,-0.225,1.705,-0.01937570144069
SVN,2016,-0.4,1.14916666666667,-0.263695659232072
SVN,2017,-0.4,0.96,-0.329056115557889
SVN,2018,-0.4,0.930833333333334,-0.322092958103428
SVN,2019,-0.45,0.275,-0.356319350335655
SVN,2020,-0.5,0.0789999999999998,-0.425159624976473
SVN,2021,-0.5,0.070833333333333,-0.548756292741075
SVN,2022,0.4375,1.89183333333333,0.341555418515784
SVN,2023,3.625,3.40416666666667,3.43080056073154
SVN,2024,3.5625,3.13064384528515,3.58563521080369
SWE,2015,-0.3,0.72015,-0.187753727822521
SWE,2016,-0.5,0.5396695,-0.489959980938843
SWE,2017,-0.5,0.656855,-0.502537241090759
SWE,2018,-0.4375,0.651104166666667,-0.392169633693919
SWE,2019,-0.1875,0.0934825166666668,-0.0275759999058912
SWE,2020,0.0,-0.0380022333333333,0.0800149810874353
SWE,2021,0.0,0.267881333333334,-0.0424698647970387
SWE,2022,1.125,1.52373666666667,0.998646793242987
SWE,2023,3.625,2.50933416666667,3.69636960913483
SWE,2024,3.4375,2.27010583333334,3.50952219320533
TUR,2015,7.5,9.29625359966122,10.9541954914097
TUR,2016,7.625,9.8324705910032,10.3218770909135
TUR,2017,8.0,11.1743681692704,12.8057692338721
TUR,2018,18.4375,16.8030234487735,19.8284703133152
TUR,2019,19.125,16.1772501097936,20.6578964480219
TUR,2020,11.3125,12.1450505913169,11.1354421103669
TUR,2021,17.5,17.362757505176,18.7136263821072
TUR,2022,12.25,18.0614267206224,14.2610027543917
TUR,2023,24.0,17.8009274970199,26.0109971188071
TUR,2024,50.0,29.3637616381204,52.0109971188071
USA,2015,0.1875,2.13583333333334,0.226666666666667
USA,2016,0.4375,1.84166666666667,0.644166666666667
USA,2017,1.125,2.33,1.1525
USA,2018,2.0,2.91,2.18833333333333
USA,2019,2.0625,2.14416666666667,2.2075
USA,2020,0.125,0.894166666666668,0.635812402760413
USA,2021,0.125,1.4425,0.114166666666667
USA,2022,2.375,2.95166666666667,2.2275
USA,2023,5.1875,3.9575,5.1775
USA,2024,5.06375,4.12416666666667,5.07416666666667
