"Country","Quarter","S_mean_tw","theta_pct","F_CP","F_CP_above","F_CP_below_adj_mid","F_DI","F_H","y_t_pct","debt_dR","excess_mortality","vax_rate"
"FRA","Q3.2020",38.5531135531135,0.0958352098563947,0.194994616004894,0.194994616004894,0,0.023498294106298,0,-5.73544493478203,4.15817766171625,1.13382215509523,0
"FRA","Q4.2020",57.7724358974359,0.561819254003547,3.03416569512901,2.20966414753961,0.288575541656292,0,0,-6.21969074759703,-1.64694338468752,18.6944765133205,0
"FRA","Q1.2021",57.7266483516483,0.239641931125803,0.495142036881603,0.495142036881603,0,0.00247350464276822,0,-6.25786577589465,1.90177594452518,5.07180986954728,4.32
"FRA","Q2.2021",57.5219047619048,0.174344918399722,0.00824501547589405,0.00824501547589405,0,0,0,-5.53656655013761,0.735394582930013,6.16026313807421,31.27
"FRA","Q3.2021",31.2048019688645,0.223240820216693,0.164900309517881,0.164900309517881,0,0,0,-3.12915879370254,2.59165632265349,2.28477636503004,65.78
"FRA","Q4.2021",34.786875,0.503740360117617,1.16524654624547,1.14967609638093,0.0155704498645344,0.646540068342933,0.00164900309517881,-3.00710078396826,-0.979667419943809,7.30308688951345,73.21
"FRA","Q1.2022",29.2975938644689,2.37915260305409,0,0,0,0,0,-3.51838891646809,1.67339837708899,3.27756795535162,77.81
"FRA","Q2.2022",8.6685554029304,1.89403813986732,0,0,0,0,0,-3.52272400345171,0.457670818109477,4.91789650734136,78.13
"FRA","Q3.2022",3.32910943223443,3.00201194727525,0,0,0,0,0,-3.4441156932008,-0.0432042465926088,6.69007917769637,78.3
"FRA","Q4.2022",0,5.61797260883452,0,0,0,0,0,-3.49002572620722,-1.61491816611733,11.4355165827307,78.37
"GBR","Q4.2019",0,0,0,0,0,0,0,-0.815292265350542,1.48445917850729,0,0
"GBR","Q1.2020",20.0595238095238,0.982023302755961,17.5197568005082,4.7303979513204,4.47627559721573,0.906854739015327,0,-3.99504891548307,-0.939150880488981,-2.84362424101379,0
"GBR","Q2.2020",68.246336996337,0.446333825549222,3.32874341515178,1.95569315284067,1.07978877954497,0.257934753380628,0.498995692214404,-23.4704238495571,0.219154500707617,41.6010824590486,0
"GBR","Q3.2020",53.6172161172161,0.0616906207255189,1.1557209450058,1.1557209450058,0,0.567934699240047,2.52656046690837,-10.9117158773463,7.13453328957077,-0.5062364860823,0
"GBR","Q4.2020",60.1362179487179,0.616714811177949,0.897380137264421,0.897380137264421,0,0.0990276351574498,1.628729158132,-10.1210540758579,3.52560038063048,14.0097051913625,0
"GBR","Q1.2021",79.6588827838828,0.462617248572595,1.30366008377353,1.30366008377353,0,0.2391209013324,0.0744432994714074,-11.5097361298018,-0.45285087833264,19.0689030664104,6.69
"GBR","Q2.2021",49.702380952381,0.0538764944499964,0,0,0,0,0,-5.77982313645269,4.17517323189465,-6.5373571200187,48.95
"GBR","Q3.2021",32.3202838827839,0.675788415670961,0,0,0,0.0225585755973962,0,-4.64479541438643,0.694924803244263,10.0269659151583,66.51
"GBR","Q4.2021",27.9528788919414,0.644819032833972,0.0451171511947924,0.0451171511947924,0,0,0,-3.78934262171911,0.627141833621764,13.5598960280476,70.26
"GBR","Q1.2022",21.0186389652015,0.211574204319573,0,0,0,0,0,-3.27504853270764,-2.50610688612252,-1.8752823570655,73.24
"GBR","Q2.2022",2.42673992673993,4.51333315404894,0,0,0,0,0,-3.19642484372099,-0.587682207016229,6.5824677363781,74.34
"GBR","Q3.2022",0,5.82359421741253,0,0,0,0,0,-3.55784945541427,-1.6338421919653,12.9232700188151,75.19
"GBR","Q4.2022",0,6.28334995482249,0,0,0,0,0,-3.76517964516324,-0.607079420553163,14.5792634770581,75.19
"GRC","Q4.2019",0,0,0,0,0,0,0,-0.112876905485147,0.824842747499815,0,0
"GRC","Q1.2020",37.3809523809524,0.0503622218754375,5.82018180266303,1.64320160464322,3.47308168316832,0.322208945032434,0,-2.44563405931191,-0.887804910854868,1.13970518560734,0
"GRC","Q2.2020",63.5531135531135,0.068577116550869,2.18199831361448,1.86032455616251,0.112585815108189,0.0549462273813588,0,-16.2116546492451,2.58385262438011,-1.42088183058047,0
"GRC","Q3.2020",51.5453296703297,0.152821449127156,1.30857374530556,1.30857374530556,0,0.66239544213042,0,-11.4212496295845,3.16349684077824,5.28480378554227,0
"GRC","Q4.2020",61.5728021978022,0.542689340654479,1.19576860703312,0.955712273813588,0.240056333219529,0.52925699897576,0.419298395356777,-9.47347568079327,4.62000245576968,14.5668993878074,0
"GRC","Q1.2021",78.1707875457875,0.4124319544117,1.48344144759304,0.549889040628201,0.933552406964834,0.132297712529874,0,-6.02874819692857,3.71798144536581,-2.56055030925929,5.85
"GRC","Q2.2021",67.566768543956,0.828376158492408,2.76433936497098,0.737730454079891,1.50782050187777,0.777249061113008,0,-5.11518570084292,2.22033762858356,15.3974863113487,36.48
